"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.52557554747906e-74,0.450788284098176,0.266,0.197,1.40769562647576e-69,"1","RASSF5"
9.41828927743324e-74,0.455541054424466,0.259,0.191,2.39940337631889e-69,"1","SMG1"
2.16692199132441e-73,0.397997981423201,0.33,0.256,5.52045046509807e-69,"1","STK4"
1.67674726285785e-69,0.456774024654001,0.252,0.187,4.27168132685665e-65,"1","ATRX"
5.81284029345416e-69,0.365911320093176,0.353,0.28,1.48087919316038e-64,"1","YWHAZ"
5.85882545651572e-69,0.3474050517675,0.404,0.329,1.49259437330195e-64,"1","SRRM2"
5.04922282574635e-66,0.426928495489707,0.266,0.201,1.28634000708714e-61,"1","TAPBP"
4.28521417454662e-64,0.436571316926102,0.265,0.202,1.0917011631075e-59,"1","BPTF"
4.85095377115984e-62,0.39583383881105,0.29,0.225,1.23582898274068e-57,"1","BRD2"
8.19950534891166e-62,0.27346087566811,0.622,0.562,2.08890598268873e-57,"1","MT-ND5"
1.4200850340519e-61,0.329116802614345,0.473,0.406,3.61780863275062e-57,"1","MT-ND6"
5.85872045665877e-61,0.386910719438078,0.266,0.203,1.49256762353839e-56,"1","PRKCB"
4.94338587917366e-58,0.299832902389986,0.399,0.328,1.25937698657828e-53,"1","PRRC2C"
8.89989609843501e-52,0.326133066920918,0.315,0.253,2.2673375300373e-47,"1","ADD3"
2.5874747818398e-51,0.293364954207136,0.382,0.316,6.59185075421508e-47,"1","IQGAP1"
3.68367831294391e-46,0.301877785416195,0.362,0.302,9.3845388700559e-42,"1","RBM39"
3.06709983685194e-42,0.347178209696885,0.255,0.203,7.81374354436401e-38,"1","PSME1"
3.93353284172671e-42,0.287174753800952,0.376,0.32,1.0021068267583e-37,"1","TMBIM6"
1.27608100113074e-41,0.337367171471848,0.255,0.203,3.25094395848068e-37,"1","ANKRD12"
7.60021698128253e-40,0.251422347117202,0.421,0.364,1.93623127815154e-35,"1","ARPC2"
2.27984124035414e-36,0.307546578321596,0.271,0.222,5.8081235439262e-32,"1","SETX"
1.82691504106731e-35,0.255790904795181,0.31,0.257,4.65424875862307e-31,"1","HSPA8"
6.91831551093363e-34,0.296073003286095,0.265,0.219,1.76251005956545e-29,"1","VPS13C"
1.16846415820528e-32,0.301110759532836,0.256,0.211,2.97677928944376e-28,"1","CHD2"
7.36629350158027e-32,0.251096577378677,0.285,0.236,1.87663693246259e-27,"1","HNRNPDL"
5.64243721020453e-26,0.252304033788954,0.258,0.217,1.43746730367171e-21,"1","SRSF11"
5.04987162378155e-22,0.252108119254115,0.27,0.233,1.28650529487459e-17,"1","SP100"
0,3.52867020337508,0.875,0.148,0,"2","GNLY"
0,3.36560412432256,0.802,0.132,0,"2","PRF1"
0,3.24072367472626,0.659,0.096,0,"2","GZMB"
0,2.19676482988786,0.758,0.229,0,"2","SYNE1"
0,2.36022204715266,0.642,0.117,0,"2","FCGR3A"
0,3.07143687113768,0.559,0.082,0,"2","FGFBP2"
0,1.96143304922626,0.669,0.219,0,"2","ARL4C"
0,1.94964860231219,0.637,0.191,0,"2","CCL5"
0,2.5829388686642,0.569,0.123,0,"2","CD247"
0,1.54226917979054,0.763,0.33,0,"2","SYNE2"
0,3.84713027848413,0.458,0.041,0,"2","SPON2"
0,2.4499055158326,0.512,0.105,0,"2","GZMA"
0,3.33786811743195,0.461,0.058,0,"2","IL2RB"
0,2.27784101640666,0.517,0.123,0,"2","RUNX3"
0,2.72035632811933,0.463,0.076,0,"2","NKG7"
0,1.37960443324683,0.727,0.366,0,"2","MACF1"
0,2.1377119374381,0.473,0.112,0,"2","GZMH"
0,1.71528809042646,0.521,0.181,0,"2","EFHD2"
0,1.58508286541554,0.542,0.204,0,"2","ITGAL"
0,1.50702146809891,0.615,0.292,0,"2","JAK1"
0,2.48739993920939,0.399,0.08,0,"2","CX3CR1"
0,2.9896786547864,0.36,0.049,0,"2","GPR56"
0,2.29114410851753,0.405,0.096,0,"2","GNPTAB"
0,1.61188248791968,0.471,0.172,0,"2","SPN"
0,1.42011411675475,0.527,0.23,0,"2","UTRN"
0,1.30483755965717,0.521,0.228,0,"2","PLEK"
0,1.05415936626787,0.76,0.468,0,"2","RNF213"
0,1.10231656397365,0.617,0.332,0,"2","FLNA"
0,2.78885013455516,0.332,0.05,0,"2","KLRD1"
0,1.79420361887993,0.419,0.14,0,"2","IGF2R"
0,0.751703421433021,0.663,0.388,0,"2","ITGB2"
0,2.53664987047794,0.334,0.06,0,"2","CST7"
0,0.975008554191252,0.668,0.403,0,"2","CALM1"
0,2.65838269874683,0.318,0.054,0,"2","CTSW"
0,3.14589465146946,0.299,0.036,0,"2","S1PR5"
0,1.01238871814761,0.607,0.346,0,"2","MSN"
0,1.47595485601224,0.419,0.161,0,"2","PIP4K2A"
0,0.656598725056947,0.836,0.596,0,"2","AHNAK"
