"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cell_type","gene"
4.14926383379164e-33,-0.64694522357925,0.451,0.558,1.25959202202413e-28,"Classical Monocytes","RPL7A"
2.00127337167997e-32,-0.782112037440572,0.388,0.493,6.07526557440888e-28,"Classical Monocytes","RPL9"
4.47099727985444e-32,-0.937297159678446,0.235,0.346,1.35726064424541e-27,"Classical Monocytes","ZFP36L1"
4.70855561693073e-31,-0.735437210270169,0.401,0.507,1.42937622863166e-26,"Classical Monocytes","RPL10A"
4.53451021341429e-30,-0.664274694786701,0.433,0.528,1.37654126548618e-25,"Classical Monocytes","RPL6"
2.68931278120239e-29,-0.787659468975696,0.305,0.413,8.1639468098961e-25,"Classical Monocytes","GLTSCR2"
2.76627232170355e-29,-0.751364858549183,0.36,0.467,8.39757288699545e-25,"Classical Monocytes","BTG1"
1.38907130030046e-28,0.658170261042843,0.434,0.312,4.2168037463221e-24,"Classical Monocytes","CD36"
2.0840806836555e-28,0.713085324026686,0.35,0.226,6.326643731373e-24,"Classical Monocytes","PGD"
4.667525420102e-28,-0.852617293657309,0.255,0.362,1.41692069178036e-23,"Classical Monocytes","PNRC1"
1.80849936435205e-27,0.609288063171137,0.424,0.304,5.49006152036353e-23,"Classical Monocytes","GAPDH"
4.28588495458905e-27,-0.590279457010477,0.44,0.535,1.3010660956646e-22,"Classical Monocytes","MT-ND6"
7.9266833732866e-27,-0.853907230566488,0.346,0.438,2.40630327162861e-22,"Classical Monocytes","JUN"
1.21337179400126e-26,0.58257257332948,0.539,0.433,3.68343275504962e-22,"Classical Monocytes","SERPINA1"
1.34506219538249e-26,-0.587796936514956,0.559,0.639,4.08320530652262e-22,"Classical Monocytes","RPL34"
2.20444232689313e-26,-0.752325095678006,0.355,0.449,6.69202557174948e-22,"Classical Monocytes","CALM2"
3.1046986585686e-26,-0.714796594580738,0.298,0.4,9.42493371781669e-22,"Classical Monocytes","HLA-F"
3.87462585752777e-26,0.785536566018327,0.36,0.246,1.17622017156971e-21,"Classical Monocytes","IFI16"
5.14230539635048e-26,0.891913957592637,0.288,0.178,1.56104964917012e-21,"Classical Monocytes","LAP3"
9.85122235958503e-26,-0.965317694266093,0.181,0.276,2.99053557169923e-21,"Classical Monocytes","CRTAP"
1.23217242353333e-25,-0.618444257733308,0.425,0.52,3.74050582612013e-21,"Classical Monocytes","RPS5"
2.79961041809568e-25,0.903963623369871,0.258,0.153,8.49877734621305e-21,"Classical Monocytes","TRIM22"
1.30099055636756e-24,-0.825684294087276,0.234,0.33,3.949417031965e-20,"Classical Monocytes","ALDH2"
3.59645729727346e-23,-0.652115385879692,0.32,0.418,1.0917765417333e-18,"Classical Monocytes","KLF4"
4.60880912025645e-23,-0.62270287289243,0.452,0.539,1.39909618463625e-18,"Classical Monocytes","CD44"
1.65244339375266e-22,-0.665505713845798,0.329,0.424,5.01632241041495e-18,"Classical Monocytes","SRSF5"
1.77766383323174e-22,-0.665157584673454,0.231,0.329,5.39645409854158e-18,"Classical Monocytes","MT-ATP8"
2.09708232749618e-22,-0.770381319094669,0.259,0.352,6.36611282158014e-18,"Classical Monocytes","OGFRL1"
2.61932238147796e-22,-0.801400711247114,0.214,0.305,7.95147695345263e-18,"Classical Monocytes","CSF1R"
3.98627895262378e-22,-0.526224338937409,0.577,0.644,1.210114701648e-17,"Classical Monocytes","RPS18"
8.74896893948578e-22,-0.627891507098962,0.36,0.448,2.6559245009597e-17,"Classical Monocytes","GSTP1"
1.28506968924982e-21,-0.759574494463768,0.201,0.292,3.90108605565569e-17,"Classical Monocytes","RPSA"
1.45594624870672e-21,0.601945547142871,0.361,0.256,4.419816027199e-17,"Classical Monocytes","LDHA"
1.95501217271428e-21,-0.7036725571107,0.298,0.384,5.93483045270875e-17,"Classical Monocytes","FCGRT"
5.31933513585792e-21,0.675334441427269,0.254,0.156,1.61479056719239e-16,"Classical Monocytes","NAIP"
7.29577449872122e-21,0.609686937478509,0.371,0.266,2.2147782645768e-16,"Classical Monocytes","SP100"
1.24900102472575e-20,-0.702008874249716,0.203,0.29,3.79159241075996e-16,"Classical Monocytes","RSL1D1"
1.65050043087801e-20,-0.699418541721428,0.235,0.324,5.01042415801639e-16,"Classical Monocytes","PLCB2"
4.17461847545086e-20,-0.830574864994059,0.221,0.306,1.26728893059262e-15,"Classical Monocytes","NLRP1"
4.449623265249e-20,-0.593700388435378,0.425,0.505,1.35077213463164e-15,"Classical Monocytes","RPL18A"
6.1253394818033e-20,0.734922542916955,0.294,0.2,1.85946930649103e-15,"Classical Monocytes","CD163"
6.45710171833723e-20,-0.648547520007833,0.393,0.471,1.96018236863563e-15,"Classical Monocytes","AMICA1"
6.91716235478826e-20,-0.682252300508921,0.34,0.426,2.09984297604307e-15,"Classical Monocytes","LST1"
8.71095892730955e-20,0.646203252500108,0.256,0.162,2.64438580156336e-15,"Classical Monocytes","HMGB2"
1.39505974072956e-19,0.658825664192307,0.269,0.173,4.23498285493271e-15,"Classical Monocytes","CCND3"
2.11354831876505e-19,-0.677439504823608,0.175,0.26,6.41609863127507e-15,"Classical Monocytes","MARCKS"
2.72439789885509e-19,-0.760991541803632,0.262,0.346,8.2704547015544e-15,"Classical Monocytes","SORL1"
3.67534409760369e-19,-0.855406876097728,0.171,0.252,1.11572420770955e-14,"Classical Monocytes","BTG2"
1.11089028151126e-18,0.661378705843403,0.329,0.235,3.37232962758373e-14,"Classical Monocytes","TNFSF10"
1.41623940292042e-18,-0.753873838960285,0.198,0.279,4.29927795544552e-14,"Classical Monocytes","EEF1B2"
1.75297671597275e-18,-0.556941235715053,0.313,0.4,5.32151141667848e-14,"Classical Monocytes","BTF3"
1.78808694088403e-18,-0.565800604668714,0.327,0.412,5.42809552644165e-14,"Classical Monocytes","CPVL"
1.85492584187988e-18,-0.796658219828353,0.225,0.307,5.63099837819474e-14,"Classical Monocytes","NAGK"
2.1623891835692e-18,-0.575415706239085,0.365,0.45,6.56436484456101e-14,"Classical Monocytes","PPP1R15A"
4.45669745693553e-18,-0.623492863968217,0.341,0.423,1.35291964700192e-13,"Classical Monocytes","DDX17"
4.87473848512668e-18,-0.580268499853458,0.33,0.416,1.47982436192991e-13,"Classical Monocytes","RPL22"
6.36928879146087e-18,0.576709470628036,0.412,0.324,1.93352499842378e-13,"Classical Monocytes","GLUL"
1.11841967029858e-17,-0.661214251592043,0.279,0.365,3.39518659312541e-13,"Classical Monocytes","RBM3"
3.57437712357391e-17,0.554291003577375,0.319,0.227,1.08507366340333e-12,"Classical Monocytes","TPM4"
4.79096357834751e-17,-0.736697512390373,0.231,0.309,1.45439281347895e-12,"Classical Monocytes","SEPT9"
5.84559238296549e-17,-0.51862788473229,0.411,0.484,1.77454647969683e-12,"Classical Monocytes","SRRM2"
6.19703955364682e-17,-0.658549444059373,0.197,0.275,1.88123529730057e-12,"Classical Monocytes","SNHG5"
9.65575248915491e-17,-0.577597248994322,0.384,0.456,2.93119678313276e-12,"Classical Monocytes","CCNI"
9.8231641990591e-17,-0.676009159491643,0.195,0.271,2.98201795590837e-12,"Classical Monocytes","YBX3"
1.41542366477269e-16,-0.579143742162132,0.305,0.385,4.29680161915044e-12,"Classical Monocytes","TMEM66"
1.77044724545155e-16,0.710492469108231,0.255,0.173,5.37454670301726e-12,"Classical Monocytes","BLVRA"
1.43310853597836e-15,-0.543114749640673,0.41,0.48,4.35048758266949e-11,"Classical Monocytes","RPS27A"
2.00380376672831e-15,0.929921703112317,0.271,0.195,6.08294709465712e-11,"Classical Monocytes","CALR"
3.35478978959654e-15,0.602377976118279,0.286,0.204,1.01841353642782e-10,"Classical Monocytes","NAMPT"
5.11287211235643e-15,-0.68035514975645,0.237,0.311,1.55211458714804e-10,"Classical Monocytes","SLC7A7"
6.12945009448387e-15,-0.599521868296683,0.249,0.327,1.86071716518247e-10,"Classical Monocytes","KLF10"
1.14979037309897e-14,-0.721005217000503,0.181,0.252,3.49041863561654e-10,"Classical Monocytes","EIF3E"
1.62169774291973e-14,-0.595909441102064,0.268,0.342,4.92298783818141e-10,"Classical Monocytes","EIF5"
1.91696282984422e-14,-0.582447370449924,0.266,0.339,5.81932406255809e-10,"Classical Monocytes","NBPF10"
2.19387246024975e-14,-0.638672308245598,0.236,0.31,6.65993862758016e-10,"Classical Monocytes","PNISR"
5.70444913652359e-14,-0.589660259603765,0.33,0.399,1.73169962437447e-09,"Classical Monocytes","DDX3X"
6.47653779182195e-14,-0.566294552433332,0.314,0.385,1.96608257746339e-09,"Classical Monocytes","HNRNPA1"
9.65797435584425e-13,-0.756356222717025,0.219,0.283,2.93187127520364e-08,"Classical Monocytes","HMHA1"
1.25635268233915e-12,-0.632854721987265,0.203,0.27,3.81390983777696e-08,"Classical Monocytes","AKAP9"
1.97259155154747e-12,-0.56366093126828,0.255,0.323,5.98819617303266e-08,"Classical Monocytes","IL10RA"
3.61233915765275e-12,-0.63089111442582,0.236,0.303,1.09659779808864e-07,"Classical Monocytes","SRSF11"
3.66931909198405e-12,0.541819284906821,0.368,0.298,1.1138951967536e-07,"Classical Monocytes","TMEM123"
1.48179191748726e-11,-0.526570973979255,0.208,0.273,4.49827572391607e-07,"Classical Monocytes","EIF4A2"
2.12936763203124e-11,-0.616129906766615,0.206,0.267,6.46412132055723e-07,"Classical Monocytes","BNIP3L"
2.13250061834291e-11,-0.696909476486901,0.193,0.253,6.47363212710357e-07,"Classical Monocytes","AKNA"
2.83554087734511e-11,-0.598328593940223,0.256,0.318,8.60785144135654e-07,"Classical Monocytes","WASF2"
4.07155586379564e-11,-0.610713287158103,0.256,0.316,1.23600221357244e-06,"Classical Monocytes","CSF3R"
4.48683254378087e-11,-0.531056903086867,0.225,0.288,1.36206775531556e-06,"Classical Monocytes","BCLAF1"
5.3736304214245e-11,0.507405201347262,0.26,0.194,1.63127298703183e-06,"Classical Monocytes","TNFSF13B"
6.64237018681004e-11,-0.50675882478028,0.253,0.316,2.01642431760992e-06,"Classical Monocytes","CNPY3"
6.93715041866735e-11,-0.641290403022971,0.211,0.274,2.10591075259485e-06,"Classical Monocytes","YY1"
1.37325529883456e-10,-0.664960022217514,0.21,0.266,4.16879111067208e-06,"Classical Monocytes","RXRA"
1.99408622424769e-10,-0.580820578357499,0.292,0.351,6.05344755094871e-06,"Classical Monocytes","MYO9B"
2.82614913217516e-10,-0.522576641418915,0.275,0.336,8.57934092054412e-06,"Classical Monocytes","CFD"
3.02660359400047e-10,-0.513508086041264,0.235,0.295,9.18786053030721e-06,"Classical Monocytes","PTPN18"
4.15741995156397e-10,-0.510869225930335,0.345,0.401,1.26206797469628e-05,"Classical Monocytes","RPS17L"
4.41825993822441e-10,-0.562009605625341,0.252,0.309,1.34125116944678e-05,"Classical Monocytes","AOAH"
5.21350437688884e-10,-0.516151964523501,0.254,0.313,1.58266352369215e-05,"Classical Monocytes","POU2F2"
1.89959866054285e-09,-0.577790523351902,0.197,0.25,5.76661165380993e-05,"Classical Monocytes","EIF2S3"
2.74364429149072e-09,-0.52538426570345,0.251,0.306,8.32888097567837e-05,"Classical Monocytes","RNASET2"
3.39868879474734e-09,-0.520079165614142,0.335,0.384,0.000103173995742145,"Classical Monocytes","CFP"
5.76444736144784e-09,-0.543593869615643,0.232,0.286,0.000174991328551472,"Classical Monocytes","PCBP1"
8.90144242181835e-09,-0.571973651346753,0.206,0.258,0.00027022108759914,"Classical Monocytes","ATRX"
7.11046751719306e-08,-0.505668695034135,0.223,0.274,0.0021585246241943,"Classical Monocytes","CEP350"
2.5936271967107e-07,-0.504060201098715,0.218,0.267,0.00787347408105468,"Classical Monocytes","TPR"
8.51084312647839e-07,0.600632650860348,0.452,0.411,0.0258363664790504,"Classical Monocytes","HSP90B1"
1.62435500708776e-06,-0.529797803420169,0.225,0.269,0.0493105449501631,"Classical Monocytes","EEF1D"
1.20342991720469e-82,2.79279638591304,0.733,0.262,3.65325219965829e-78,"Plasma cells IgM","IGJ"
1.2975542118653e-81,-3.34654610550197,0.064,0.476,3.93898532095949e-77,"Plasma cells IgM","MS4A1"
1.42797785500124e-79,4.01537294172159,0.612,0.098,4.33491237442725e-75,"Plasma cells IgM","S100A8"
3.67916226953178e-73,6.85899894475288,0.49,0.006,1.11688329016176e-68,"Plasma cells IgM","IFI27"
1.51395660010029e-71,3.2292001430456,0.624,0.137,4.59591805092444e-67,"Plasma cells IgM","S100A9"
9.3337103140872e-70,-1.18641364803304,0.902,0.979,2.83343444004745e-65,"Plasma cells IgM","MALAT1"
6.18713788340231e-62,-1.17561688269783,0.796,0.927,1.87822944726444e-57,"Plasma cells IgM","MT-CO1"
8.23607788975568e-56,-1.83836318830821,0.462,0.734,2.50022616499313e-51,"Plasma cells IgM","CD74"
4.63024068286754e-54,3.65808805641432,0.539,0.137,1.4056021640981e-49,"Plasma cells IgM","IGLC3"
6.01204901863336e-54,2.62691220942665,0.642,0.312,1.82507772058653e-49,"Plasma cells IgM","HSP90B1"
9.46081016106815e-52,-1.94141627227284,0.217,0.58,2.87201814059546e-47,"Plasma cells IgM","HLA-DRA"
1.34248884580033e-51,-1.12934414173397,0.703,0.894,4.07539338919607e-47,"Plasma cells IgM","MT-ND4"
1.2050821362338e-50,-1.17144630701987,0.643,0.857,3.65826784096494e-46,"Plasma cells IgM","RPS6"
9.91404055287179e-47,-2.12226825247064,0.157,0.491,3.00960529063529e-42,"Plasma cells IgM","HLA-DPB1"
2.28798360023189e-45,-2.17081948857186,0.104,0.414,6.94563181522396e-41,"Plasma cells IgM","LTB"
2.62924767454204e-45,-3.00628011140411,0.035,0.281,7.98160716560729e-41,"Plasma cells IgM","BANK1"
4.15206290914669e-43,-1.26056090765435,0.539,0.769,1.26044173732966e-38,"Plasma cells IgM","RPL13A"
6.16093509415094e-41,-1.15384680218493,0.595,0.796,1.8702750665314e-36,"Plasma cells IgM","RPL3"
1.26092975874898e-39,-1.07024338445093,0.589,0.798,3.82780446863427e-35,"Plasma cells IgM","MT-CO3"
3.99734968984841e-39,0.576073530821422,1,0.994,1.21347544534728e-34,"Plasma cells IgM","RNA18S5"
6.32270248311795e-39,5.38211893566425,0.311,0.012,1.91938279280012e-34,"Plasma cells IgM","IFI6"
9.60911914335111e-39,3.4713167744778,0.375,0.06,2.9170402983471e-34,"Plasma cells IgM","MZB1"
9.3101686749986e-38,-0.969773765879435,0.666,0.85,2.82628790466933e-33,"Plasma cells IgM","MT-ATP6"
1.97622172012364e-37,-1.11705002251802,0.523,0.757,5.99921627577934e-33,"Plasma cells IgM","RPS2"
9.19256246729762e-36,2.49362325867155,0.855,0.898,2.79058618819754e-31,"Plasma cells IgM","IGHM"
2.87570655022234e-35,-1.10005382075264,0.568,0.778,8.72978237450996e-31,"Plasma cells IgM","MT-CYB"
1.70541112682665e-34,6.13196865710622,0.281,0.012,5.17711655770767e-30,"Plasma cells IgM","IGHG4"
1.84397864741782e-34,2.0268701704196,0.533,0.252,5.59776597996628e-30,"Plasma cells IgM","HSPA5"
2.13156676444765e-34,3.87296141199366,0.379,0.085,6.47079722683373e-30,"Plasma cells IgM","IGHG1"
7.66918836279787e-34,-1.66077084776112,0.241,0.528,2.32813551129455e-29,"Plasma cells IgM","HLA-DRB1"
4.50586042871901e-32,3.76010253240058,0.317,0.046,1.36784405034623e-27,"Plasma cells IgM","IGLC2"
2.47826964536992e-31,-1.06089623345182,0.585,0.751,7.52328316244945e-27,"Plasma cells IgM","RPL19"
3.42461456577469e-31,2.48600828452439,0.378,0.094,1.03961024373222e-26,"Plasma cells IgM","XBP1"
